,Response,Test Stim,Test Speed,Correct,Time
0,right,log,0.0,False,1.103248119354248
1,left,mirror,-8.0,True,0.8006768226623535
2,right,mirror,0.0,False,0.6222469806671143
3,left,log,-16.0,True,0.5115079879760742
4,left,mirror,-8.0,True,0.6112160682678223
5,right,log,32.0,True,0.4513161182403565
6,left,log,-8.0,True,0.5409059524536133
7,right,log,-16.0,False,0.9291911125183104
8,right,mirror,40.0,True,0.5069339275360107
9,left,log,-24.0,True,0.5621922016143799
10,left,log,-40.0,True,0.9909088611602784
11,left,mirror,-40.0,True,0.5699889659881592
12,right,log,32.0,True,0.370307207107544
13,right,mirror,32.0,True,0.4896068572998047
14,left,log,0.0,False,0.6862709522247314
15,right,log,0.0,False,0.5612051486968994
16,left,mirror,0.0,False,0.5673589706420898
17,left,log,-8.0,True,0.5656118392944336
18,right,log,32.0,True,0.43276190757751465
19,left,log,-40.0,True,0.4669241905212402
20,right,mirror,32.0,True,0.4313080310821533
21,right,log,8.0,True,0.7277870178222656
22,left,mirror,8.0,False,0.6609730720520021
23,left,mirror,-24.0,True,0.5471618175506592
24,right,mirror,16.0,True,0.37290120124816895
25,left,log,-8.0,True,0.521632194519043
26,left,mirror,-16.0,True,0.5864479541778564
27,right,mirror,-8.0,False,0.41764712333679205
28,left,log,-8.0,True,0.6787049770355225
29,right,log,32.0,True,0.4723823070526123
30,left,log,-24.0,True,0.4872109889984131
31,left,log,-40.0,True,0.8919548988342285
32,left,mirror,-40.0,True,0.5586588382720947
33,right,mirror,8.0,True,0.4973490238189697
34,right,mirror,40.0,True,0.435640811920166
35,right,log,40.0,True,0.4764630794525146
36,right,mirror,16.0,True,0.4493091106414795
37,left,mirror,24.0,False,0.6977667808532715
38,left,mirror,-16.0,True,0.6898417472839355
39,right,log,32.0,True,0.5391249656677246
40,left,mirror,-24.0,True,0.5426747798919678
41,right,mirror,-32.0,False,0.563615083694458
42,left,log,-32.0,True,0.5476701259613037
43,right,mirror,8.0,True,0.6681118011474609
44,right,mirror,24.0,True,0.6982262134552002
45,left,mirror,-40.0,True,0.6164059638977051
46,right,log,-40.0,False,1.6193530559539795
47,right,log,40.0,True,0.4274580478668213
48,right,mirror,8.0,True,0.6025307178497314
49,right,mirror,40.0,True,0.5989477634429932
50,left,log,-16.0,True,0.696483850479126
51,left,mirror,-32.0,True,2.7869949340820312
52,right,log,0.0,False,0.6944308280944824
53,right,log,16.0,True,0.9977958202362059
54,left,log,0.0,False,1.110454797744751
55,right,mirror,-24.0,False,1.332448959350586
56,right,mirror,-24.0,False,0.8156590461730957
57,right,mirror,16.0,True,0.4059028625488281
58,left,log,-40.0,True,0.5349609851837158
59,right,log,0.0,False,0.6668262481689453
60,left,log,-8.0,True,0.5953860282897949
61,right,mirror,32.0,True,0.42465782165527344
62,left,mirror,0.0,False,0.4743239879608154
63,right,mirror,16.0,True,0.8468539714813232
64,right,log,-16.0,False,1.3506500720977783
65,left,mirror,-8.0,True,0.8642518520355225
66,right,mirror,8.0,True,0.5263369083404541
67,right,log,16.0,True,0.6462922096252441
68,left,mirror,0.0,False,0.6682360172271729
69,right,mirror,40.0,True,0.3924491405487061
70,left,mirror,-8.0,True,1.36537504196167
71,right,mirror,-8.0,False,0.7911391258239746
72,right,log,16.0,True,0.5588481426239014
73,left,mirror,-24.0,True,1.2442469596862793
74,right,mirror,-16.0,False,0.4365761280059815
75,right,mirror,8.0,True,0.3381078243255615
76,left,mirror,-24.0,True,0.3998210430145264
77,right,log,16.0,True,0.631767988204956
78,left,mirror,-40.0,True,0.5913791656494141
79,left,log,-32.0,True,0.6094629764556885
80,right,mirror,-16.0,False,0.8081078529357909
81,right,mirror,16.0,True,0.6236171722412109
82,left,mirror,-24.0,True,0.7844290733337402
83,right,log,40.0,True,0.6286227703094482
84,left,log,0.0,False,0.5790750980377197
85,right,mirror,24.0,True,0.5289540290832521
86,left,log,-24.0,True,0.6881649494171143
87,right,log,-40.0,False,0.6192681789398193
88,right,log,0.0,False,0.4413290023803711
89,right,mirror,40.0,True,0.937791109085083
90,right,log,8.0,True,0.9741661548614502
91,left,mirror,-32.0,True,1.0473909378051758
92,right,log,8.0,True,1.0737509727478027
93,left,log,-24.0,True,0.6540288925170898
94,right,mirror,0.0,False,0.8841009140014648
95,left,mirror,-8.0,True,0.807114839553833
96,right,log,0.0,False,0.8138501644134521
97,right,log,16.0,True,0.5308139324188232
98,left,log,-8.0,True,0.5785467624664307
99,right,log,-24.0,False,0.6447341442108154
100,left,mirror,-32.0,True,0.6494901180267334
101,right,mirror,-32.0,False,0.4959909915924072
102,right,log,16.0,True,0.605330228805542
103,right,mirror,-32.0,False,1.0712099075317385
104,right,mirror,-8.0,False,0.4835648536682129
105,right,mirror,0.0,False,0.5945532321929932
106,left,mirror,-16.0,True,0.5785181522369385
107,left,log,-40.0,True,0.7264449596405029
108,right,log,24.0,True,0.5858829021453857
109,right,mirror,32.0,True,0.4638721942901611
110,left,log,-16.0,True,0.5639479160308838
111,right,log,-8.0,False,0.5095460414886475
112,right,log,32.0,True,0.7356939315795898
113,right,mirror,8.0,True,0.5801200866699219
114,right,mirror,32.0,True,0.5425379276275635
115,right,log,24.0,True,0.4111442565917969
116,right,mirror,40.0,True,0.5083467960357666
117,right,log,32.0,True,0.9527850151062012
118,right,mirror,16.0,True,0.8391830921173096
119,left,mirror,-8.0,True,0.9482638835906982
120,left,mirror,-24.0,True,0.776540994644165
121,right,mirror,24.0,True,0.8482487201690674
122,left,mirror,16.0,False,1.0045008659362793
123,left,mirror,-16.0,True,0.8529238700866699
124,right,log,-8.0,False,0.988898992538452
125,right,mirror,8.0,True,0.8172922134399414
126,left,log,0.0,False,0.702794075012207
127,left,mirror,-24.0,True,0.8639359474182129
128,right,log,24.0,True,0.7201261520385742
129,left,log,0.0,False,0.5149240493774414
130,right,log,8.0,True,0.5527088642120361
131,left,log,-8.0,True,0.7609429359436035
132,right,mirror,0.0,False,0.660797119140625
133,right,log,24.0,True,0.8393070697784424
134,left,log,-8.0,True,0.8777978420257568
135,left,mirror,-40.0,True,0.7303762435913086
136,right,mirror,-40.0,False,0.7514381408691406
137,right,log,-32.0,False,1.5799129009246826
138,left,mirror,-8.0,True,1.219792127609253
139,right,mirror,16.0,True,0.6708598136901855
140,left,mirror,24.0,False,1.6034648418426514
141,left,log,-24.0,True,1.2681388854980469
142,right,log,16.0,True,0.5377230644226074
143,right,mirror,32.0,True,1.138763189315796
144,left,log,-24.0,True,0.8954160213470459
145,right,log,-24.0,False,0.9406118392944336
146,left,mirror,-32.0,True,1.3994688987731934
147,right,mirror,0.0,False,0.6482632160186768
148,right,mirror,16.0,True,0.7508809566497803
149,right,log,24.0,True,0.89121413230896
150,right,mirror,8.0,True,0.8220617771148682
151,left,log,-16.0,True,1.049760818481445
152,left,mirror,-24.0,True,0.8663871288299559
153,right,log,32.0,True,0.657883882522583
154,left,log,16.0,False,0.6457300186157227
155,right,log,40.0,True,0.7238538265228271
156,left,log,24.0,False,0.6292688846588135
157,left,log,-16.0,True,0.7205698490142822
158,right,log,-24.0,False,0.5569198131561279
159,right,mirror,32.0,True,0.5592691898345947
160,left,mirror,-16.0,True,0.6423799991607666
161,right,log,40.0,True,0.780573844909668
162,left,log,24.0,False,0.9421508312225342
163,right,mirror,16.0,True,0.9617679119110109
164,right,log,8.0,True,0.9177498817443848
165,left,log,8.0,False,1.3237180709838867
166,left,mirror,-24.0,True,1.0470089912414549
167,right,log,16.0,True,0.6775007247924805
168,left,mirror,-32.0,True,0.8886430263519287
169,right,mirror,16.0,True,0.7240667343139648
170,left,log,0.0,False,1.0270972251892092
171,right,mirror,24.0,True,0.7244727611541748
172,left,mirror,40.0,False,1.0041751861572266
173,right,log,16.0,True,0.7269251346588135
174,right,mirror,0.0,False,0.7803850173950195
175,right,log,32.0,True,0.7095921039581299
176,left,mirror,-24.0,True,0.7580690383911133
177,right,log,8.0,True,0.6878652572631836
178,left,log,0.0,False,0.8074276447296143
179,right,mirror,8.0,True,0.5953199863433838
180,left,log,-8.0,True,0.5811409950256348
181,right,log,8.0,True,0.5729987621307373
182,left,log,-16.0,True,0.5333001613616943
183,left,log,-32.0,True,0.6388547420501709
184,right,log,-40.0,False,0.6586110591888428
185,left,mirror,-32.0,True,0.7792508602142334
186,right,log,40.0,True,0.6640429496765137
187,left,log,-8.0,True,0.7098653316497803
188,left,log,-16.0,True,1.1446499824523926
189,right,log,8.0,True,0.5831332206726074
190,left,mirror,-16.0,True,0.5564529895782471
191,right,log,8.0,True,0.5817360877990723
192,left,mirror,-16.0,True,0.7375769615173341
193,left,log,-32.0,True,0.7597000598907471
194,right,log,-16.0,False,0.4917569160461426
195,right,mirror,32.0,True,0.6034049987792969
196,left,mirror,-32.0,True,0.4966330528259277
197,right,mirror,24.0,True,0.6344850063323975
198,left,log,-40.0,True,0.6809108257293701
199,right,log,-24.0,False,0.5847511291503906
200,right,log,40.0,True,0.5523250102996826
201,right,mirror,24.0,True,0.6376707553863525
